name_index,sexe_index,count,idmax,max,x,y,name,sexe,entropy,life
AHMET,1,2450,2007,94,-11.6566,-2.61621,AHMET (M),1,3.74169,0.369748
AICHA,2,14821,2016,526,4.88873,11.7034,AICHA (F),0,4.18487,0.537815
AIDA,2,3346,2016,124,1.6096,9.0763,AIDA (F),0,4.30904,0.512605
AIDAN,1,2035,2014,215,-2.07118,49.9362,AIDAN (M),1,2.73433,0.12605
AIDEN,1,1352,2017,308,26.3981,51.6764,AIDEN (M),1,2.01345,0.0588235
AIMABLE,1,1066,1902,46,49.3575,14.0429,AIMABLE (M),1,3.71031,0.344538
AIME,1,39649,1920,1175,57.6464,-0.357655,AIME (M),1,4.10797,0.487395
AIMEE,2,27876,1921,839,56.8967,4.12311,AIMEE (F),0,4.03747,0.436975
AIMY,2,1319,2009,115,-14.7838,45.7302,AIMY (F),0,3.03672,0.176471
AINHOA,2,1306,2014,109,-7.39897,37.1784,AINHOA (F),0,3.08552,0.184874
AISSA,1,3423,2015,147,5.21336,15.3322,AISSA (M),1,4.08928,0.521008
AISSATA,2,2321,2012,100,-5.90093,6.54476,AISSATA (F),0,3.68985,0.352941
AISSATOU,2,2052,2014,106,-6.97008,10.1067,AISSATOU (F),0,3.65363,0.344538
AKIM,1,3678,1973,135,-6.81397,-42.1131,AKIM (M),1,3.872,0.436975
AKRAM,1,1764,2014,111,1.98096,26.1878,AKRAM (M),1,3.50761,0.336134
AKSEL,1,1759,2017,176,8.08571,45.8268,AKSEL (M),1,2.96698,0.151261
ALAIN,1,506836,1950,24046,39.5581,-35.3461,ALAIN (M),1,3.79348,0.327731
ALAIS,2,1028,2008,85,-33.0347,39.6607,ALAIS (F),0,3.16979,0.210084
ALAN,1,19963,2000,967,-32.7127,-7.12868,ALAN (M),1,3.72115,0.378151
ALANA,2,1857,2007,173,-25.4367,43.5273,ALANA (F),0,2.9863,0.176471
ALASSANE,1,1061,2011,52,-5.6595,10.9451,ALASSANE (M),1,3.63932,0.344538
ALBA,2,1582,2016,157,19.6436,45.0416,ALBA (F),0,3.85109,0.201681
ALBAN,1,26141,2007,649,-8.20548,-8.96548,ALBAN (M),1,4.40479,0.739496
ALBANE,2,9650,2014,460,0.00243155,17.1424,ALBANE (F),0,3.86753,0.411765
ALBERIC,1,1933,1906,36,32.4377,5.94835,ALBERIC (M),1,4.56719,0.907563
ALBERT,1,204040,1920,6264,50.1469,2.11104,ALBERT (M),1,4.01326,0.420168
ALBERTE,2,9140,1920,251,51.595,-6.27239,ALBERTE (F),0,4.06322,0.487395
ALBERTINE,2,28132,1908,1084,52.5359,12.4884,ALBERTINE (F),0,3.71623,0.344538
ALBERTO,1,2091,1974,89,13.775,-50.4055,ALBERTO (M),1,4.30552,0.663866
ALBIN,1,5049,2013,145,26.2745,13.2054,ALBIN (M),1,4.54098,0.87395
ALBINE,2,1337,1910,35,49.3454,6.53774,ALBINE (F),0,4.22001,0.647059
ALCIDE,1,3583,1906,147,48.3606,15.5175,ALCIDE (M),1,3.89404,0.361345
ALDO,1,3532,1958,105,23.7262,-29.4994,ALDO (M),1,4.38827,0.672269
ALDRIC,1,1068,1981,42,-19.2679,-23.2113,ALDRIC (M),1,3.86737,0.436975
ALEC,1,1280,2015,76,-3.50729,26.5049,ALEC (M),1,3.5855,0.235294
ALESSANDRO,1,3297,2008,185,-14.6451,23.8522,ALESSANDRO (M),1,3.57216,0.285714
ALESSIA,2,2330,2016,235,11.9697,42.1215,ALESSIA (F),0,3.06735,0.184874
ALESSIO,1,3923,2016,501,17.1512,50.2225,ALESSIO (M),1,2.75527,0.12605
ALEX,1,29908,2001,1138,-30.1783,-0.51342,ALEX (M),1,4.28242,0.613445
ALEXA,2,2017,1971,146,-2.98082,-49.241,ALEXA (F),0,3.77534,0.411765
ALEXANDER,1,2227,1995,85,-12.9005,1.53597,ALEXANDER (M),1,3.93314,0.403361
ALEXANDRA,2,92582,1978,4689,-17.4624,-44.5769,ALEXANDRA (F),0,3.73559,0.310924
ALEXANDRE,1,298569,1995,9015,-23.9649,-21.4956,ALEXANDRE (M),1,4.27622,0.621849
ALEXANDRINE,2,14040,1901,457,43.1114,16.6569,ALEXANDRINE (F),0,4.25372,0.571429
ALEXANE,2,3540,2003,190,-36.0789,2.70162,ALEXANE (F),0,3.38048,0.260504
ALEXI,1,1770,2006,120,-32.2227,19.3997,ALEXI (M),1,3.25816,0.218487
ALEXIA,2,36743,1996,1714,-32.5957,-10.9361,ALEXIA (F),0,3.79782,0.394958
ALEXIANE,2,2228,1996,122,-35.6627,-8.06642,ALEXIANE (F),0,3.55356,0.285714
ALEXIE,2,1236,2016,69,-25.9612,-3.45298,ALEXIE (F),0,3.44316,0.285714
ALEXINA,2,1197,1906,42,44.8773,15.9552,ALEXINA (F),0,4.30992,0.571429
ALEXINE,2,1682,1998,57,32.5642,9.995,ALEXINE (F),0,4.31213,0.630252
ALEXIS,1,146860,1996,5845,-31.9425,-9.02954,ALEXIS (M),1,4.16387,0.478992
ALEXY,1,4385,2006,267,-36.3193,6.31883,ALEXY (M),1,3.3445,0.235294
ALEYNA,2,2162,2003,168,-33.6878,31.2472,ALEYNA (F),0,2.97711,0.176471
ALFRED,1,65750,1910,1994,55.6563,6.4625,ALFRED (M),1,3.98545,0.436975
ALFREDA,2,5380,1920,236,53.3406,-0.688993,ALFREDA (F),0,3.86603,0.403361
ALFREDO,1,1090,1970,52,14.8131,-50.941,ALFREDO (M),1,4.09787,0.521008
ALI,1,25238,2017,786,4.60511,11.3087,ALI (M),1,4.28313,0.579832
ALIA,2,3011,2016,338,17.6231,42.2755,ALIA (F),0,3.4101,0.151261
ALICE,2,189230,1908,3745,36.8552,7.60805,ALICE (F),0,4.42378,0.731092
ALICIA,2,47540,2002,2038,-19.9732,5.49895,ALICIA (F),0,3.65498,0.294118
ALIDA,2,2203,1903,96,44.708,19.0819,ALIDA (F),0,4.04651,0.302521
ALIENOR,2,3853,2017,194,-3.07143,20.068,ALIENOR (F),0,3.60667,0.319328
ALIETTE,2,3828,1947,97,51.4385,-16.9488,ALIETTE (F),0,4.4388,0.714286
ALINA,2,1943,2013,107,19.1403,22.9683,ALINA (F),0,4.10021,0.436975
ALINE,2,89882,1980,2219,18.969,-21.8474,ALINE (F),0,4.6599,0.890756
ALISON,2,15748,1993,1993,-43.6692,-14.9732,ALISON (F),0,3.2295,0.168067
ALISSA,2,1869,2008,89,-16.1415,11.0432,ALISSA (F),0,3.50101,0.268908
ALISSON,2,4333,1993,488,-43.5696,-15.1142,ALISSON (F),0,3.3476,0.218487
ALIX,1,7969,2004,232,17.8979,10.4855,ALIX (M),1,4.53823,0.983193
ALIX,2,22354,2015,886,-9.14865,13.5949,ALIX (F),0,4.20969,0.487395
ALIXE,2,1064,2010,58,23.7258,17.1082,ALIXE (F),0,3.94483,0.428571
ALIYA,2,4289,2017,495,9.51278,49.4565,ALIYA (F),0,2.71076,0.134454
ALIYAH,2,3078,2017,438,18.4342,51.1324,ALIYAH (F),0,2.53964,0.117647
ALIZE,2,2015,1986,89,-28.0535,-9.72464,ALIZE (F),0,3.42771,0.268908
ALIZEE,2,12837,2001,1201,-45.4796,-3.36221,ALIZEE (F),0,3.39907,0.268908
ALLAIN,1,2953,1948,179,48.4311,-27.7564,ALLAIN (M),1,3.89881,0.495798
ALLAN,1,17334,1998,1366,-42.5355,-5.43021,ALLAN (M),1,3.48153,0.252101
ALLISON,2,5465,1993,443,-38.9885,-25.383,ALLISON (F),0,3.22555,0.193277
ALMA,2,2698,2017,317,23.2019,46.873,ALMA (F),0,3.79892,0.151261
ALOIS,1,5713,2010,280,-11.0651,20.5899,ALOIS (M),1,4.0308,0.453782
ALOISE,1,1754,1903,77,48.1884,13.5257,ALOISE (M),1,3.75969,0.369748
ALOYS,1,1105,2009,72,-25.218,35.7335,ALOYS (M),1,3.67509,0.285714
ALOYSE,1,2538,1907,88,50.3685,4.1326,ALOYSE (M),1,3.98559,0.436975
ALPHONSE,1,43148,1908,1522,53.1096,9.80126,ALPHONSE (M),1,3.87153,0.378151
ALPHONSINE,2,13312,1902,612,47.4079,18.5254,ALPHONSINE (F),0,3.5933,0.302521
ALVIN,1,1678,1993,99,-38.4991,-9.17748,ALVIN (M),1,3.45419,0.252101
ALWENA,2,1063,2011,93,-19.4544,40.164,ALWENA (F),0,2.93243,0.159664
ALYA,2,4734,2017,662,19.6517,47.6474,ALYA (F),0,2.73377,0.134454
ALYAH,2,1026,2017,147,19.9292,48.0965,ALYAH (F),0,2.59471,0.12605
ALYCIA,2,5175,2010,335,-23.9539,28.2103,ALYCIA (F),0,3.14744,0.210084
ALYSON,2,2819,1999,169,-34.0477,8.47168,ALYSON (F),0,3.43349,0.260504
ALYSSA,2,9810,2011,600,-23.2332,27.7031,ALYSSA (F),0,3.20974,0.235294
ALYSSIA,2,3791,2005,225,-28.6473,19.739,ALYSSIA (F),0,3.24403,0.226891
ALYSSON,2,1302,2005,74,-33.8132,8.62384,ALYSSON (F),0,3.44758,0.268908
AMADOU,1,2570,2015,103,-3.96135,5.47897,AMADOU (M),1,3.80432,0.386555
AMAEL,1,1593,2010,106,1.17894,27.6203,AMAEL (M),1,3.52091,0.319328
AMAIA,2,1216,2017,73,-8.97861,28.7887,AMAIA (F),0,3.42845,0.277311
AMAL,2,3329,1984,133,-20.4472,-29.273,AMAL (F),0,3.77764,0.386555
AMALIA,2,2738,2017,199,13.2033,36.2964,AMALIA (F),0,3.97107,0.268908
AMAND,1,3539,1913,118,53.4165,6.93572,AMAND (M),1,3.96502,0.462185
AMANDA,2,6408,1986,473,-41.9204,-25.7249,AMANDA (F),0,4.05724,0.344538
AMANDINE,2,95381,1986,4932,-29.9699,-25.3374,AMANDINE (F),0,3.55648,0.302521
AMAR,1,6279,1967,198,8.36351,-35.2558,AMAR (M),1,4.2496,0.621849
AMAURY,1,17973,2010,776,-11.8974,5.46069,AMAURY (M),1,3.9002,0.394958
AMAYA,2,1275,2017,119,15.4777,41.348,AMAYA (F),0,3.45223,0.176471
AMBRE,2,42177,2013,2384,-16.907,27.4098,AMBRE (F),0,3.2995,0.252101
AMBRINE,2,2412,2010,155,-25.1388,25.3689,AMBRINE (F),0,3.15801,0.201681
AMBROISE,1,7000,2010,151,30.6118,10.2349,AMBROISE (M),1,4.57001,0.915966
AMBROISINE,2,1787,1904,64,48.6787,14.6918,AMBROISINE (F),0,3.91632,0.361345
AMEDE,1,1303,1920,46,53.2243,5.64725,AMEDE (M),1,3.86301,0.403361
AMEDEE,1,7805,1912,247,53.2969,7.92604,AMEDEE (M),1,4.00554,0.411765
AMEL,2,11385,2005,503,-23.1892,0.885521,AMEL (F),0,3.78358,0.386555
AMELIA,2,11185,2017,742,9.1042,31.9345,AMELIA (F),0,4.05665,0.285714
AMELIE,2,98037,1991,4218,-27.8101,-27.7075,AMELIE (F),0,4.20314,0.537815
AMELINE,2,2302,1998,108,-30.7503,-9.69646,AMELINE (F),0,3.71423,0.319328
AMELLE,2,1478,2000,67,-32.1962,-7.59934,AMELLE (F),0,3.72272,0.386555
AMIN,1,3341,2002,163,-25.4918,0.964166,AMIN (M),1,3.6217,0.327731
AMINA,2,11889,2016,522,-7.59395,9.49523,AMINA (F),0,3.79128,0.378151
AMINATA,2,6803,2017,264,-6.50303,6.39183,AMINATA (F),0,3.75028,0.352941
AMINE,1,21996,2006,1298,-14.908,23.8714,AMINE (M),1,3.4026,0.268908
AMIR,1,10065,2017,1329,21.9831,47.1862,AMIR (M),1,3.13766,0.134454
AMIRA,2,6490,2017,450,4.68091,29.8451,AMIRA (F),0,3.48361,0.310924
AMY,2,2992,2012,201,-4.21817,38.9901,AMY (F),0,3.5014,0.226891
ANA,2,9961,2016,482,5.64593,16.053,ANA (F),0,3.87439,0.428571
ANABELLE,2,2479,1973,106,-4.62669,-45.3047,ANABELLE (F),0,3.93347,0.453782
ANAE,2,7118,2011,698,0.394859,49.9973,ANAE (F),0,2.69868,0.134454
ANAEL,1,2326,2010,131,-3.38477,8.05062,ANAEL (M),1,3.60857,0.327731
ANAEL,2,1611,2007,92,-26.6063,12.0448,ANAEL (F),0,3.52696,0.302521
ANAELLE,2,23046,2003,1176,-29.3118,12.1026,ANAELLE (F),0,3.47796,0.285714
ANAIS,2,132074,1993,6574,-31.966,-12.8781,ANAIS (F),0,3.73244,0.302521
ANAS,1,7585,2016,620,-0.0306337,40.7609,ANAS (M),1,3.16395,0.210084
ANASS,1,1933,2013,132,-7.4911,32.3084,ANASS (M),1,3.41026,0.268908
ANASTASIA,2,6584,1989,301,-26.3763,-4.33007,ANASTASIA (F),0,3.68483,0.302521
ANASTASIE,2,3073,1901,115,46.9208,14.9949,ANASTASIE (F),0,4.0865,0.378151
ANATOLE,1,8370,2011,334,23.2942,16.4569,ANATOLE (M),1,4.24757,0.546218
ANDRE,1,711989,1920,18300,56.9014,-5.12358,ANDRE (M),1,4.14674,0.537815
ANDREA,1,7813,2017,551,4.80176,31.703,ANDREA (M),1,3.44522,0.243697
ANDREA,2,44613,1995,1367,32.2473,9.60426,ANDREA (F),0,4.3623,0.630252
ANDREAS,1,3510,2008,180,-13.1905,21.1157,ANDREAS (M),1,3.52761,0.268908
ANDREE,2,215493,1920,7051,55.8284,-4.5269,ANDREE (F),0,4.01103,0.478992
ANDREW,1,3342,2015,138,-18.1477,8.18544,ANDREW (M),1,3.75528,0.344538
ANDY,1,11624,1998,448,-22.9511,-5.31849,ANDY (M),1,3.6527,0.327731
ANES,1,1197,2017,133,14.6913,42.969,ANES (M),1,2.98744,0.159664
ANGE,1,17716,1920,314,37.0749,4.11143,ANGE (M),1,4.56738,0.915966
ANGE,2,2450,2006,53,36.5725,3.8687,ANGE (F),0,4.61342,0.94958
ANGEL,1,7786,2002,286,20.6009,16.2521,ANGEL (M),1,4.48398,0.823529
ANGELA,2,9001,2001,234,-0.185068,-10.9874,ANGELA (F),0,4.55006,0.857143
ANGELE,2,70913,1904,2059,44.8358,10.2516,ANGELE (F),0,4.21263,0.504202
ANGELICA,2,1388,1988,50,-15.8244,-21.9264,ANGELICA (F),0,4.1347,0.554622
ANGELINA,2,21178,2006,916,20.1532,12.0461,ANGELINA (F),0,4.42793,0.663866
ANGELINE,2,14517,1982,292,28.973,6.19261,ANGELINE (F),0,4.57896,0.92437
ANGELIQUE,2,91962,1981,5021,-16.0156,-44.9531,ANGELIQUE (F),0,3.67932,0.285714
ANGELO,1,12393,2010,365,5.97575,8.2988,ANGELO (M),1,4.50848,0.798319
ANGIE,2,2572,2007,135,-27.009,12.4169,ANGIE (F),0,3.58525,0.344538
ANIA,2,1231,2017,109,11.9154,40.0913,ANIA (F),0,3.32728,0.193277
ANICET,1,2194,1948,41,42.8469,-0.323385,ANICET (M),1,4.60803,0.957983
ANICK,2,2780,1951,152,45.218,-31.3645,ANICK (F),0,3.6317,0.327731
ANIS,1,8847,2009,478,-14.437,23.012,ANIS (M),1,3.52023,0.336134
ANISSA,2,18366,1993,630,-22.5009,-7.08641,ANISSA (F),0,3.77298,0.369748
ANITA,2,29365,1960,951,26.5801,-35.3875,ANITA (F),0,4.31028,0.554622
ANNA,2,109472,2015,2505,36.764,9.90338,ANNA (F),0,4.42083,0.638655
ANNA-MARIA,2,1374,1970,81,15.4184,-49.4304,ANNA-MARIA (F),0,3.81981,0.352941
ANNABEL,2,2325,1971,208,2.85,-56.1939,ANNABEL (F),0,3.62435,0.260504
ANNABELLE,2,18179,1973,732,-8.54056,-44.7197,ANNABELLE (F),0,3.81873,0.436975
ANNAELLE,2,5188,2003,291,-30.1449,11.6647,ANNAELLE (F),0,3.48971,0.294118
ANNAICK,2,1057,1973,48,9.14115,-44.6877,ANNAICK (F),0,3.905,0.470588
ANNAIG,2,1039,1973,63,-5.86406,-51.8238,ANNAIG (F),0,3.80935,0.428571
ANNE,2,364521,1971,6740,42.3529,-3.57496,ANNE (F),0,4.54853,0.806723
ANNE-CATHERINE,2,1944,1974,114,0.274115,-53.0265,ANNE-CATHERINE (F),0,3.68576,0.336134
ANNE-CECILE,2,4265,1981,237,-14.3944,-45.5925,ANNE-CECILE (F),0,3.53872,0.294118
ANNE-CHARLOTTE,2,4149,1987,302,-38.6476,-29.4855,ANNE-CHARLOTTE (F),0,3.55567,0.285714
ANNE-CHRISTINE,2,1104,1970,66,8.92013,-49.7239,ANNE-CHRISTINE (F),0,3.55131,0.319328
ANNE-CLAIRE,2,6097,1982,300,-16.576,-41.1524,ANNE-CLAIRE (F),0,3.68053,0.336134
ANNE-FRANCOISE,2,1790,1971,90,12.9404,-47.4833,ANNE-FRANCOISE (F),0,3.63008,0.336134
ANNE-GAELLE,2,2945,1982,167,-15.4368,-46.224,ANNE-GAELLE (F),0,3.57588,0.310924
ANNE-LAURE,2,20412,1984,1104,-17.1649,-41.399,ANNE-LAURE (F),0,3.58054,0.302521
ANNE-LISE,2,8090,1984,331,-15.2213,-39.0911,ANNE-LISE (F),0,3.93252,0.453782
ANNE-MARIE,2,100076,1954,3929,39.6983,-32.7955,ANNE-MARIE (F),0,4.0801,0.470588
ANNE-SOPHIE,2,32385,1987,1695,-16.3015,-40.9046,ANNE-SOPHIE (F),0,3.59156,0.294118
ANNELISE,2,1581,1979,53,-7.24798,-33.7238,ANNELISE (F),0,4.28688,0.697479
ANNETTE,2,33506,1946,1220,44.2146,-22.9699,ANNETTE (F),0,4.20441,0.571429
ANNIC,2,1142,1939,52,49.9784,-25.0676,ANNIC (F),0,3.55766,0.327731
ANNICK,2,131467,1947,6469,43.3155,-32.0075,ANNICK (F),0,3.73302,0.344538
ANNIE,2,210106,1947,11484,43.4819,-32.9449,ANNIE (F),0,3.68608,0.310924
ANNIE-CLAUDE,2,1361,1955,71,34.7263,-40.7989,ANNIE-CLAUDE (F),0,3.76175,0.378151
ANNIK,2,2651,1939,129,49.4893,-27.0019,ANNIK (F),0,3.66536,0.302521
ANNITA,2,1595,1950,68,39.9687,-28.4187,ANNITA (F),0,4.13734,0.579832
ANNONCIADE,2,1415,1911,48,50.0572,3.36935,ANNONCIADE (F),0,4.10215,0.512605
ANNY,2,9214,1946,655,48.1941,-29.5684,ANNY (F),0,3.68545,0.294118
ANOUAR,1,1794,1990,61,-8.40238,-5.60265,ANOUAR (M),1,3.80087,0.386555
ANOUCHKA,2,1476,1997,65,-28.2073,-7.69525,ANOUCHKA (F),0,3.85403,0.420168
ANOUCK,2,2687,2008,107,-15.5571,-0.197093,ANOUCK (F),0,3.80985,0.394958
ANOUK,2,8850,2008,437,-15.6016,22.8159,ANOUK (F),0,3.63026,0.319328
ANSELME,1,3561,1913,80,36.8105,8.67834,ANSELME (M),1,4.46614,0.781513
ANTHEA,2,1428,2007,83,-32.2568,9.68453,ANTHEA (F),0,3.32966,0.243697
ANTHONIN,1,1163,2004,76,-35.4191,18.06,ANTHONIN (M),1,3.30327,0.243697
ANTHONY,1,172910,1988,9088,-30.9163,-26.8019,ANTHONY (M),1,3.59807,0.319328
ANTOINE,1,274265,1996,6752,26.8449,5.55358,ANTOINE (M),1,4.62548,0.991597
ANTOINETTE,2,72566,1920,2016,56.0105,3.65139,ANTOINETTE (F),0,4.06241,0.521008
ANTON,1,4084,2016,277,-4.98643,37.1115,ANTON (M),1,3.40725,0.218487
ANTONELLA,2,1279,1963,55,14.6269,-42.4587,ANTONELLA (F),0,4.03106,0.512605
ANTONI,1,1680,2003,45,-20.5477,-10.5176,ANTONI (M),1,4.41459,0.773109
ANTONIA,2,9906,1908,244,45.3041,8.42415,ANTONIA (F),0,4.32995,0.537815
ANTONIN,1,38330,2003,1347,22.1767,12.3332,ANTONIN (M),1,4.27577,0.579832
ANTONINE,2,3008,1902,125,46.6533,17.6344,ANTONINE (F),0,3.93651,0.336134
ANTONIO,1,20085,1971,936,14.2615,-50.1511,ANTONIO (M),1,4.29584,0.638655
ANTONY,1,17496,1988,521,-15.5193,-28.0655,ANTONY (M),1,4.21739,0.521008
ANYA,2,1196,2017,136,16.3873,42.4698,ANYA (F),0,3.04691,0.151261
APOLLINE,2,14892,2016,958,-3.35839,27.8135,APOLLINE (F),0,3.48567,0.243697
APPOLINE,2,1877,2016,66,29.1683,14.8049,APPOLINE (F),0,4.20952,0.529412
ARDA,1,1283,2008,194,-32.1004,44.8699,ARDA (M),1,2.47404,0.109244
ARIA,2,1117,2017,343,27.3654,50.8195,ARIA (F),0,1.69857,0.0420168
ARIANE,2,9926,1958,261,-0.559359,-21.9877,ARIANE (F),0,4.38424,0.697479
ARIEL,1,1586,2014,60,0.918861,13.872,ARIEL (M),1,4.12128,0.579832
ARIELLE,2,3486,1963,196,22.2636,-48.4364,ARIELLE (F),0,4.08469,0.529412
ARISTIDE,1,7690,1907,214,43.564,10.0285,ARISTIDE (M),1,4.26331,0.563025
ARLETTE,2,78577,1947,3300,49.2906,-24.748,ARLETTE (F),0,3.80989,0.352941
ARMANCE,2,1342,2017,43,34.8457,14.1009,ARMANCE (F),0,4.01439,0.487395
ARMAND,1,64612,1910,1411,40.0847,4.72019,ARMAND (M),1,4.40249,0.756303
ARMANDE,2,11097,1920,334,55.4837,0.859017,ARMANDE (F),0,4.07175,0.504202
ARMANDINE,2,5231,1906,217,49.3669,16.6321,ARMANDINE (F),0,3.76054,0.310924
ARMANDO,1,1477,1972,64,5.99766,-49.6278,ARMANDO (M),1,4.36412,0.731092
ARMEL,1,6006,2017,133,33.8293,-26.5976,ARMEL (M),1,4.66924,0.991597
ARMELLE,2,26332,1972,833,23.4731,-36.1827,ARMELLE (F),0,4.26037,0.596639
ARNAUD,1,134325,1974,6189,-9.16509,-46.9287,ARNAUD (M),1,3.90457,0.361345
ARNAULD,1,1582,1971,111,6.1383,-53.0015,ARNAULD (M),1,3.82172,0.336134
ARNAULT,1,1139,1981,63,-5.59636,-50.4143,ARNAULT (M),1,3.96968,0.453782
ARNO,1,2037,2006,139,-36.3456,16.0675,ARNO (M),1,3.35452,0.210084
ARNOLD,1,2521,1991,78,-6.61178,-27.9728,ARNOLD (M),1,4.62783,0.907563
ARON,1,1618,2015,165,4.43217,51.4188,ARON (M),1,2.84719,0.117647
ARSENE,1,16225,2017,364,37.911,8.4736,ARSENE (M),1,4.35966,0.689076
ARSENE,2,1002,1908,34,48.8141,3.0234,ARSENE (F),0,4.05675,0.529412
ARTHUR,1,113924,2011,4261,-10.7541,14.3368,ARTHUR (M),1,4.10127,0.521008
ARWEN,2,1465,2005,133,-23.0115,42.4808,ARWEN (F),0,2.71808,0.134454
ASHLEY,2,4425,2012,303,-7.95118,32.1361,ASHLEY (F),0,3.27141,0.235294
ASMA,2,7599,2017,397,-4.46423,22.5174,ASMA (F),0,3.58267,0.336134
ASMAA,2,1635,2011,64,-8.71419,3.0601,ASMAA (F),0,3.7031,0.361345
