name_index,sexe_index,count,idxmax,max,x,y,name,sexe,entropy,life
ADONIS,1,1469,2017,91,-30.716492,32.253643,ADONIS (M),1.0,4.080248338590733,0.42857142857142855
ADRIAN,1,4880,1997,185,-11.157476,-8.163738,ADRIAN (M),1.0,3.6630991420001244,0.3277310924369748
ADRIANA,2,2877,2000,166,-1.6900988,12.345584,ADRIANA (F),0.0,3.7357421162415028,0.2773109243697479
ADRIANO,1,2290,2013,126,-40.5417,8.085557,ADRIANO (M),1.0,3.938510015399965,0.453781512605042
ADRIEN,1,135062,1991,4356,22.872509,8.102487,ADRIEN (M),1.0,4.321771655046502,0.6554621848739496
ADRIENNE,2,34909,1910,1228,49.300777,24.41435,ADRIENNE (F),0.0,3.8350927290115004,0.36134453781512604
AGATHE,2,46710,2017,1789,-23.159689,6.87964,AGATHE (F),0.0,4.079223577524327,0.3697478991596639
AGLAE,2,1765,2006,94,19.424257,17.745693,AGLAE (F),0.0,3.913410635597506,0.40336134453781514
AGNES,2,112625,1964,3872,35.632687,-29.204454,AGNES (F),0.0,4.421209395571003,0.7563025210084033
AHLEM,2,1284,1983,58,-4.4404664,-38.852974,AHLEM (F),0.0,3.808615868511009,0.40336134453781514
AHMED,1,19806,2017,508,10.5552435,-27.061636,AHMED (M),1.0,4.19351587912027,0.5546218487394958
AHMET,1,2450,2007,94,-20.259825,-5.619566,AHMET (M),1.0,3.741692407082635,0.3697478991596639
AICHA,2,14821,2016,526,-39.533978,1.2579821,AICHA (F),0.0,4.184874204055348,0.5378151260504201
AIDA,2,3346,2016,124,-34.774033,-0.6619854,AIDA (F),0.0,4.309042799072058,0.5126050420168067
AIDAN,1,2035,2014,215,-42.53322,38.404057,AIDAN (M),1.0,2.734325380688019,0.12605042016806722
AIDEN,1,1352,2017,308,-67.57952,24.148613,AIDEN (M),1.0,2.0134534048384767,0.058823529411764705
AIMABLE,1,1066,1902,46,44.938015,26.332254,AIMABLE (M),1.0,3.710311972759107,0.3445378151260504
AIME,1,39649,1920,1175,57.470634,15.647355,AIME (M),1.0,4.107966944917796,0.48739495798319327
AIMEE,2,27876,1921,839,55.159855,19.368603,AIMEE (F),0.0,4.03746554703297,0.4369747899159664
AIMY,2,1319,2009,115,-27.677956,40.952076,AIMY (F),0.0,3.0367177542128374,0.17647058823529413
AINHOA,2,1306,2014,109,-35.671932,26.856394,AINHOA (F),0.0,3.0855158518143173,0.18487394957983194
AISSA,1,3423,2015,147,-40.565426,5.201781,AISSA (M),1.0,4.08927679535584,0.5210084033613446
AISSATA,2,2321,2012,100,-27.422066,0.7060779,AISSATA (F),0.0,3.6898478505646484,0.35294117647058826
AISSATOU,2,2052,2014,106,-27.451252,4.6698365,AISSATOU (F),0.0,3.6536295195059747,0.3445378151260504
AKIM,1,3678,1973,135,8.408539,-45.985493,AKIM (M),1.0,3.8720002428198668,0.4369747899159664
AKRAM,1,1764,2014,111,-37.973965,14.841425,AKRAM (M),1.0,3.507610494862875,0.33613445378151263
AKSEL,1,1759,2017,176,-48.893227,29.698265,AKSEL (M),1.0,2.96697845045701,0.15126050420168066
ALAIN,1,506836,1950,24046,50.70324,-25.177868,ALAIN (M),1.0,3.793484747978206,0.3277310924369748
ALAIS,2,1028,2008,85,-10.894803,38.32638,ALAIS (F),0.0,3.1697938117849622,0.21008403361344538
ALAN,1,19963,2000,967,-2.5519786,-6.435727,ALAN (M),1.0,3.7211503546679405,0.37815126050420167
ALANA,2,1857,2007,173,-15.620506,41.01142,ALANA (F),0.0,2.9863030332224287,0.17647058823529413
ALASSANE,1,1061,2011,52,-28.826061,4.863875,ALASSANE (M),1.0,3.6393214862265113,0.3445378151260504
ALBA,2,1582,2016,157,-58.66322,22.957848,ALBA (F),0.0,3.8510894553875707,0.20168067226890757
ALBAN,1,26141,2007,649,-21.485228,-11.781154,ALBAN (M),1.0,4.404791140945554,0.7394957983193278
ALBANE,2,9650,2014,460,-35.388153,7.4897537,ALBANE (F),0.0,3.867530218432969,0.4117647058823529
ALBERIC,1,1933,1906,36,31.664152,12.664876,ALBERIC (M),1.0,4.567186682609141,0.907563025210084
ALBERT,1,204040,1920,6264,49.8111,15.214671,ALBERT (M),1.0,4.01325913995564,0.42016806722689076
ALBERTE,2,9140,1920,251,54.07203,8.231146,ALBERTE (F),0.0,4.063216059855866,0.48739495798319327
ALBERTINE,2,28132,1908,1084,48.413174,25.8448,ALBERTINE (F),0.0,3.7162261392282683,0.3445378151260504
ALBERTO,1,2091,1974,89,30.557812,-50.42992,ALBERTO (M),1.0,4.3055236266671395,0.6638655462184874
ALBIN,1,5049,2013,145,25.042698,17.665047,ALBIN (M),1.0,4.540981253785944,0.8739495798319328
ALBINE,2,1337,1910,35,47.758205,19.209,ALBINE (F),0.0,4.220006366434556,0.6470588235294118
ALCIDE,1,3583,1906,147,43.542015,27.397366,ALCIDE (M),1.0,3.8940432799098277,0.36134453781512604
ALDO,1,3532,1958,105,33.615047,-25.452728,ALDO (M),1.0,4.388274744220049,0.6722689075630253
ALDRIC,1,1068,1981,42,-5.0518637,-28.698118,ALDRIC (M),1.0,3.867368514005222,0.4369747899159664
ALEC,1,1280,2015,76,-32.919525,17.776459,ALEC (M),1.0,3.585498147890785,0.23529411764705882
ALESSANDRO,1,3297,2008,185,-21.974413,19.450108,ALESSANDRO (M),1.0,3.572160064698416,0.2857142857142857
ALESSIA,2,2330,2016,235,-51.177227,24.929253,ALESSIA (F),0.0,3.0673452471416525,0.18487394957983194
ALESSIO,1,3923,2016,501,-59.516113,28.513035,ALESSIO (M),1.0,2.755273802213376,0.12605042016806722
ALEX,1,29908,2001,1138,-2.0662472,-3.9932542,ALEX (M),1.0,4.28242111093624,0.6134453781512605
ALEXA,2,2017,1971,146,13.478782,-52.13865,ALEXA (F),0.0,3.775341744353286,0.4117647058823529
ALEXANDER,1,2227,1995,85,-10.582189,-5.3683815,ALEXANDER (M),1.0,3.9331417188777107,0.40336134453781514
ALEXANDRA,2,92582,1978,4689,-1.3886864,-49.95803,ALEXANDRA (F),0.0,3.735594588281176,0.31092436974789917
ALEXANDRE,1,298569,1995,9015,-9.572318,-27.39907,ALEXANDRE (M),1.0,4.276216967366992,0.6218487394957983
ALEXANDRINE,2,14040,1901,457,38.37796,26.725574,ALEXANDRINE (F),0.0,4.2537201752195415,0.5714285714285714
ALEXANE,2,3540,2003,190,-0.64278835,3.1030645,ALEXANE (F),0.0,3.3804797132532123,0.2605042016806723
ALEXI,1,1770,2006,120,-5.7218213,18.580929,ALEXI (M),1.0,3.2581606236603773,0.2184873949579832
ALEXIA,2,36743,1996,1714,-2.1513505,-9.819664,ALEXIA (F),0.0,3.7978246723466476,0.3949579831932773
ALEXIANE,2,2228,1996,122,0.08096634,-6.5837464,ALEXIANE (F),0.0,3.5535616627051345,0.2857142857142857
ALEXIE,2,1236,2016,69,-9.503323,-6.7360425,ALEXIE (F),0.0,3.4431640934686265,0.2857142857142857
ALEXINA,2,1197,1906,42,40.266,26.620064,ALEXINA (F),0.0,4.309916843572367,0.5714285714285714
ALEXINE,2,1682,1998,57,31.37516,16.64744,ALEXINE (F),0.0,4.312134892717713,0.6302521008403361
ALEXIS,1,146860,1996,5845,-2.8325508,-8.244501,ALEXIS (M),1.0,4.163868229959536,0.4789915966386555
ALEXY,1,4385,2006,267,-0.19239222,6.8025293,ALEXY (M),1.0,3.3445030932139423,0.23529411764705882
ALEYNA,2,2162,2003,168,-5.8214445,30.976128,ALEYNA (F),0.0,2.977114821737892,0.17647058823529413
ALFRED,1,65750,1910,1994,53.653294,20.382658,ALFRED (M),1.0,3.9854523808975415,0.4369747899159664
ALFREDA,2,5380,1920,236,53.711376,13.735428,ALFREDA (F),0.0,3.8660342265048264,0.40336134453781514
ALFREDO,1,1090,1970,52,32.148045,-49.618313,ALFREDO (M),1.0,4.097867144321239,0.5210084033613446
ALI,1,25238,2017,786,-39.176918,0.98010045,ALI (M),1.0,4.283130501719545,0.5798319327731093
ALIA,2,3011,2016,338,-55.99696,21.926851,ALIA (F),0.0,3.410104109131753,0.15126050420168066
ALICE,2,189230,1908,3745,36.048103,16.108488,ALICE (F),0.0,4.423781091611546,0.7310924369747899
ALICIA,2,47540,2002,2038,-13.975441,3.0968747,ALICIA (F),0.0,3.6549765338804856,0.29411764705882354
ALIDA,2,2203,1903,96,39.00126,29.462126,ALIDA (F),0.0,4.046506017821099,0.3025210084033613
ALIENOR,2,3853,2017,194,-31.283775,10.470192,ALIENOR (F),0.0,3.606667851376881,0.31932773109243695
ALIETTE,2,3828,1947,97,55.526623,-3.642958,ALIETTE (F),0.0,4.438800834325854,0.7142857142857143
ALINA,2,1943,2013,107,-35.26545,33.398457,ALINA (F),0.0,4.100214208798102,0.4369747899159664
ALINE,2,89882,1980,2219,27.414883,-21.407646,ALINE (F),0.0,4.659898124037002,0.8907563025210085
ALISON,2,15748,1993,1993,7.59979,-10.504143,ALISON (F),0.0,3.229498900326184,0.16806722689075632
ALISSA,2,1869,2008,89,-17.850657,7.8824024,ALISSA (F),0.0,3.501010143854592,0.2689075630252101
ALISSON,2,4333,1993,488,7.517899,-10.569497,ALISSON (F),0.0,3.347600101746408,0.2184873949579832
ALIX,1,7969,2004,232,16.889196,15.296913,ALIX (M),1.0,4.538228882527561,0.9831932773109243
ALIX,2,22354,2015,886,-24.110449,7.4899464,ALIX (F),0.0,4.20969455088931,0.48739495798319327
ALIXE,2,1064,2010,58,22.888536,20.5282,ALIXE (F),0.0,3.944825222177287,0.42857142857142855
ALIYA,2,4289,2017,495,-52.54527,32.283466,ALIYA (F),0.0,2.710756050991449,0.13445378151260504
ALIYAH,2,3078,2017,438,-61.08611,28.476648,ALIYAH (F),0.0,2.539639001215588,0.11764705882352941
ALIZE,2,2015,1986,89,-3.258084,-12.63136,ALIZE (F),0.0,3.427713978266307,0.2689075630252101
ALIZEE,2,12837,2001,1201,7.584038,-0.06692825,ALIZEE (F),0.0,3.399069399274438,0.2689075630252101
ALLAIN,1,2953,1948,179,56.61877,-14.873288,ALLAIN (M),1.0,3.8988137359247013,0.4957983193277311
ALLAN,1,17334,1998,1366,7.6419964,-2.694882,ALLAN (M),1.0,3.4815316091689543,0.25210084033613445
ALLISON,2,5465,1993,443,-21.419285,-35.407757,ALLISON (F),0.0,3.225553221152323,0.19327731092436976
ALMA,2,2698,2017,317,-62.370373,22.268597,ALMA (F),0.0,3.798916471077046,0.15126050420168066
ALOIS,1,5713,2010,280,-24.592817,15.933867,ALOIS (M),1.0,4.030803680592396,0.453781512605042
ALOISE,1,1754,1903,77,44.087757,25.566784,ALOISE (M),1.0,3.7596882828076903,0.3697478991596639
ALOYS,1,1105,2009,72,-14.741611,33.49061,ALOYS (M),1.0,3.675087871026998,0.2857142857142857
ALOYSE,1,2538,1907,88,49.335217,17.177269,ALOYSE (M),1.0,3.9855898103442526,0.4369747899159664
ALPHONSE,1,43148,1908,1522,49.774567,23.577286,ALPHONSE (M),1.0,3.8715256619269676,0.37815126050420167
ALPHONSINE,2,13312,1902,612,41.62302,29.864258,ALPHONSINE (F),0.0,3.593303237117388,0.3025210084033613
ALVIN,1,1678,1993,99,1.4021958,-5.092485,ALVIN (M),1.0,3.454190709253376,0.25210084033613445
ALWENA,2,1063,2011,93,-21.235834,36.6864,ALWENA (F),0.0,2.93242802085899,0.15966386554621848
ALYA,2,4734,2017,662,-60.112602,25.019136,ALYA (F),0.0,2.733767201320316,0.13445378151260504
ALYAH,2,1026,2017,147,-60.61494,25.243668,ALYAH (F),0.0,2.5947115053508307,0.12605042016806722
ALYCIA,2,5175,2010,335,-14.5083275,25.952423,ALYCIA (F),0.0,3.1474364553241787,0.21008403361344538
ALYSON,2,2819,1999,169,-2.94584,6.7797756,ALYSON (F),0.0,3.4334919438609703,0.2605042016806723
ALYSSA,2,9810,2011,600,-15.086732,25.329147,ALYSSA (F),0.0,3.209740969237503,0.23529411764705882
ALYSSIA,2,3791,2005,225,-8.763452,18.301388,ALYSSIA (F),0.0,3.244034466278224,0.226890756302521
ALYSSON,2,1302,2005,74,-3.2403913,6.8750277,ALYSSON (F),0.0,3.447575975204617,0.2689075630252101
AMADOU,1,2570,2015,103,-29.017466,-0.9287843,AMADOU (M),1.0,3.8043245502289915,0.3865546218487395
AMAEL,1,1593,2010,106,-37.7004,16.280264,AMAEL (M),1.0,3.52090606761452,0.31932773109243695
AMAIA,2,1216,2017,73,-28.428041,21.531956,AMAIA (F),0.0,3.4284542127838153,0.2773109243697479
AMAL,2,3329,1984,133,-5.390319,-34.86844,AMAL (F),0.0,3.7776403833704157,0.3865546218487395
AMALIA,2,2738,2017,199,-49.527824,19.09879,AMALIA (F),0.0,3.9710652197356304,0.2689075630252101
AMAND,1,3539,1913,118,50.993267,20.538378,AMAND (M),1.0,3.965015245279869,0.46218487394957986
AMANDA,2,6408,1986,473,-25.27845,-35.24344,AMANDA (F),0.0,4.057241097457581,0.3445378151260504
AMANDINE,2,95381,1986,4932,-13.812343,-32.19032,AMANDINE (F),0.0,3.5564813838749454,0.3025210084033613
AMAR,1,6279,1967,198,21.28344,-36.530598,AMAR (M),1.0,4.249600492884087,0.6218487394957983
AMAURY,1,17973,2010,776,-21.16513,1.410065,AMAURY (M),1.0,3.9002020134304543,0.3949579831932773
AMAYA,2,1275,2017,119,-53.669327,22.202093,AMAYA (F),0.0,3.4522345244066996,0.17647058823529413
AMBRE,2,42177,2013,2384,-21.07174,23.582264,AMBRE (F),0.0,3.299501942876152,0.25210084033613445
AMBRINE,2,2412,2010,155,-12.81359,23.625286,AMBRINE (F),0.0,3.1580099675757713,0.20168067226890757
AMBROISE,1,7000,2010,151,29.51868,16.363817,AMBROISE (M),1.0,4.57000768949967,0.9159663865546218
AMBROISINE,2,1787,1904,64,44.085938,26.715405,AMBROISINE (F),0.0,3.9163204306608583,0.36134453781512604
AMEDE,1,1303,1920,46,51.68988,21.021006,AMEDE (M),1.0,3.863007913802031,0.40336134453781514
AMEDEE,1,7805,1912,247,50.674168,21.839682,AMEDEE (M),1.0,4.005535325326028,0.4117647058823529
AMEL,2,11385,2005,503,-10.265739,-0.5001026,AMEL (F),0.0,3.7835761715745906,0.3865546218487395
AMELIA,2,11185,2017,742,-40.167572,20.439972,AMELIA (F),0.0,4.056654400247068,0.2857142857142857
AMELIE,2,98037,1991,4218,-11.707083,-33.73134,AMELIE (F),0.0,4.203143535114144,0.5378151260504201
AMELINE,2,2302,1998,108,-3.8276815,-9.452784,AMELINE (F),0.0,3.7142342642515396,0.31932773109243695
AMELLE,2,1478,2000,67,-3.031886,-6.957628,AMELLE (F),0.0,3.7227203297241824,0.3865546218487395
AMIN,1,3341,2002,163,-8.350877,-0.64692175,AMIN (M),1.0,3.6216980088089055,0.3277310924369748
AMINA,2,11889,2016,522,-26.714386,3.9296594,AMINA (F),0.0,3.7912784379572217,0.37815126050420167
AMINATA,2,6803,2017,264,-26.873552,0.6128592,AMINATA (F),0.0,3.750278828012737,0.35294117647058826
AMINE,1,21996,2006,1298,-21.673136,19.540747,AMINE (M),1.0,3.4025983234853165,0.2689075630252101
AMIR,1,10065,2017,1329,-61.617306,23.203773,AMIR (M),1.0,3.1376640790337005,0.13445378151260504
AMIRA,2,6490,2017,450,-41.56036,17.8529,AMIRA (F),0.0,3.483611596282065,0.31092436974789917
AMY,2,2992,2012,201,-36.110634,29.470339,AMY (F),0.0,3.5013958947135544,0.226890756302521
ANA,2,9961,2016,482,-41.052357,5.5181193,ANA (F),0.0,3.874385113393295,0.42857142857142855
ANABELLE,2,2479,1973,106,11.153778,-48.534576,ANABELLE (F),0.0,3.9334724535802996,0.453781512605042
ANAE,2,7118,2011,698,-44.725513,37.1121,ANAE (F),0.0,2.6986792541271116,0.13445378151260504
ANAEL,1,2326,2010,131,-30.608114,3.2340462,ANAEL (M),1.0,3.608570200147557,0.3277310924369748
ANAEL,2,1611,2007,92,-9.511354,10.157011,ANAEL (F),0.0,3.526959122339166,0.3025210084033613
ANAELLE,2,23046,2003,1176,-7.008803,10.706357,ANAELLE (F),0.0,3.4779552620240666,0.2857142857142857
ANAIS,2,132074,1993,6574,-3.3165214,-11.592066,ANAIS (F),0.0,3.7324391997653428,0.3025210084033613
ANAS,1,7585,2016,620,-40.537857,29.253963,ANAS (M),1.0,3.1639519877581517,0.21008403361344538
ANASS,1,1933,2013,132,-32.59658,23.33594,ANASS (M),1.0,3.410260784762118,0.2689075630252101
ANASTASIA,2,6584,1989,301,-8.879689,-7.095056,ANASTASIA (F),0.0,3.6848281071424602,0.3025210084033613
ANASTASIE,2,3073,1901,115,42.398174,26.437696,ANASTASIE (F),0.0,4.086498492055392,0.37815126050420167
ANATOLE,1,8370,2011,334,22.630785,19.961882,ANATOLE (M),1.0,4.247569575711604,0.5462184873949579
ANDRE,1,711989,1920,18300,58.508625,11.167067,ANDRE (M),1.0,4.146740016999514,0.5378151260504201
ANDREA,1,7813,2017,551,-41.697693,19.48778,ANDREA (M),1.0,3.445221002543591,0.24369747899159663
ANDREA,2,44613,1995,1367,31.16676,16.196507,ANDREA (F),0.0,4.362302534193679,0.6302521008403361
ANDREAS,1,3510,2008,180,-22.625626,16.229456,ANDREAS (M),1.0,3.527608804700971,0.2689075630252101
ANDREE,2,215493,1920,7051,57.31558,11.281407,ANDREE (F),0.0,4.011028962203174,0.4789915966386555
ANDREW,1,3342,2015,138,-21.0916,5.0773516,ANDREW (M),1.0,3.7552808701718754,0.3445378151260504
ANDY,1,11624,1998,448,-9.991402,-10.209658,ANDY (M),1.0,3.652698426764929,0.3277310924369748
ANES,1,1197,2017,133,-53.819122,23.96745,ANES (M),1.0,2.987436063001734,0.15966386554621848
ANGE,1,17716,1920,314,37.32814,13.013135,ANGE (M),1.0,4.567379838881033,0.9159663865546218
ANGE,2,2450,2006,53,36.964542,12.62111,ANGE (F),0.0,4.613422116603554,0.9495798319327731
ANGEL,1,7786,2002,286,19.533209,20.63666,ANGEL (M),1.0,4.483979171101306,0.8235294117647058
ANGELA,2,9001,2001,234,11.84358,-23.384045,ANGELA (F),0.0,4.55006385812145,0.8571428571428571
ANGELE,2,70913,1904,2059,42.62842,21.416422,ANGELE (F),0.0,4.212632523077846,0.5042016806722689
ANGELICA,2,1388,1988,50,-8.419337,-29.431618,ANGELICA (F),0.0,4.1347020888415145,0.5546218487394958
ANGELINA,2,21178,2006,916,18.892311,16.892471,ANGELINA (F),0.0,4.427934289209029,0.6638655462184874
ANGELINE,2,14517,1982,292,27.876364,11.700459,ANGELINE (F),0.0,4.578959551120658,0.9243697478991597
ANGELIQUE,2,91962,1981,5021,0.04011529,-50.168,ANGELIQUE (F),0.0,3.6793227903467187,0.2857142857142857
ANGELO,1,12393,2010,365,-34.85986,3.266623,ANGELO (M),1.0,4.508484975302161,0.7983193277310925
ANGIE,2,2572,2007,135,-9.212735,10.586586,ANGIE (F),0.0,3.585252909720092,0.3445378151260504
ANIA,2,1231,2017,109,-50.193974,23.20018,ANIA (F),0.0,3.32727502327669,0.19327731092436976
ANICET,1,2194,1948,41,44.36374,10.335411,ANICET (M),1.0,4.608028032676113,0.957983193277311
ANICK,2,2780,1951,152,54.772846,-19.312328,ANICK (F),0.0,3.6316977206116503,0.3277310924369748
ANIS,1,8847,2009,478,-22.062317,18.583307,ANIS (M),1.0,3.5202258714823573,0.33613445378151263
ANISSA,2,18366,1993,630,-10.240506,-11.067747,ANISSA (F),0.0,3.77297647523634,0.3697478991596639
ANITA,2,29365,1960,951,38.89753,-30.08486,ANITA (F),0.0,4.310277984621265,0.5546218487394958
ANNA,2,109472,2015,2505,35.11564,18.196093,ANNA (F),0.0,4.420834915361867,0.6386554621848739
ANNA-MARIA,2,1374,1970,81,31.632822,-47.565674,ANNA-MARIA (F),0.0,3.8198083394665576,0.35294117647058826
ANNABEL,2,2325,1971,208,20.376772,-56.981716,ANNABEL (F),0.0,3.6243450757672218,0.2605042016806723
ANNABELLE,2,18179,1973,732,7.2366223,-48.697945,ANNABELLE (F),0.0,3.8187283188158987,0.4369747899159664
ANNAELLE,2,5188,2003,291,-6.1375794,10.451983,ANNAELLE (F),0.0,3.489710946512919,0.29411764705882354
ANNAICK,2,1057,1973,48,24.18943,-45.06147,ANNAICK (F),0.0,3.90499791256243,0.47058823529411764
ANNAIG,2,1039,1973,63,11.167079,-55.08814,ANNAIG (F),0.0,3.8093460272664452,0.42857142857142855
ANNE,2,364521,1971,6740,44.86977,7.1513066,ANNE (F),0.0,4.548531041430684,0.8067226890756303
ANNE-CATHERINE,2,1944,1974,114,16.90434,-54.908295,ANNE-CATHERINE (F),0.0,3.685763710542812,0.33613445378151263
ANNE-CECILE,2,4265,1981,237,1.7043735,-50.55376,ANNE-CECILE (F),0.0,3.538724646987595,0.29411764705882354
ANNE-CHARLOTTE,2,4149,1987,302,-20.42086,-38.93751,ANNE-CHARLOTTE (F),0.0,3.5556682057389,0.2857142857142857
ANNE-CHRISTINE,2,1104,1970,66,25.63908,-49.041527,ANNE-CHRISTINE (F),0.0,3.551311111543238,0.31932773109243695
ANNE-CLAIRE,2,6097,1982,300,-1.0750809,-46.537983,ANNE-CLAIRE (F),0.0,3.6805289496385325,0.33613445378151263
ANNE-FRANCOISE,2,1790,1971,90,28.738817,-45.82979,ANNE-FRANCOISE (F),0.0,3.630080949416726,0.33613445378151263
ANNE-GAELLE,2,2945,1982,167,0.76253617,-51.301727,ANNE-GAELLE (F),0.0,3.575878572456481,0.31092436974789917
ANNE-LAURE,2,20412,1984,1104,-1.6065613,-46.835983,ANNE-LAURE (F),0.0,3.580539924192686,0.3025210084033613
ANNE-LISE,2,8090,1984,331,0.056370277,-44.376476,ANNE-LISE (F),0.0,3.9325173766916763,0.453781512605042
ANNE-MARIE,2,100076,1954,3929,50.12225,-22.735355,ANNE-MARIE (F),0.0,4.080101739484284,0.47058823529411764
ANNE-SOPHIE,2,32385,1987,1695,-0.8607793,-46.298874,ANNE-SOPHIE (F),0.0,3.591558378171162,0.29411764705882354
ANNELISE,2,1581,1979,53,6.5786934,-38.57057,ANNELISE (F),0.0,4.286882926116323,0.6974789915966386
ANNETTE,2,33506,1946,1220,51.23003,-11.662096,ANNETTE (F),0.0,4.20441467515723,0.5714285714285714
ANNIC,2,1142,1939,52,57.167603,-11.808271,ANNIC (F),0.0,3.557658195692574,0.3277310924369748
ANNICK,2,131467,1947,6469,53.270184,-20.54169,ANNICK (F),0.0,3.7330191691409564,0.3445378151260504
ANNIE,2,210106,1947,11484,53.767242,-21.320787,ANNIE (F),0.0,3.6860789108082175,0.31092436974789917
ANNIE-CLAUDE,2,1361,1955,71,48.056347,-31.879776,ANNIE-CLAUDE (F),0.0,3.761752912053253,0.37815126050420167
ANNIK,2,2651,1939,129,57.31648,-13.789125,ANNIK (F),0.0,3.6653620256947406,0.3025210084033613
ANNITA,2,1595,1950,68,49.048607,-18.403748,ANNITA (F),0.0,4.137337680864397,0.5798319327731093
ANNONCIADE,2,1415,1911,48,49.301006,16.367298,ANNONCIADE (F),0.0,4.102146998058343,0.5126050420168067
